타입,"내용(본문,문제)",보기1,보기2,보기3,보기4,정답번호
T,"낮은 곳에 커튼이 늘어져 있는 것을 발견했습니다. 커튼을 걷자 거기엔 38센티미터쯤 될까말까한 
조그마한 문이 있었습니다. 황금열쇠를 그 자물쇠 구멍에 넣어 보니 꼭 맞았습니다. 

앨리스는 그 작은 문을 얼른 열었습니다. 쥐구멍 만한 구멍이 뚫어져 있었습니다. 
무릎을 꿇고 들여다보니, 굉장히 아름다운 뜰이 보였습니다. 앨리스는 기어나가, 그 눈부신 화단과 분수가 치솟고 있는 뜰을 얼마나 거닐어 보고 싶었는지 모릅니다. 그러나 그 구멍은 머리도 들어가지 않을 만큼 좁았습니다. 

'비록 머리가 들어간다 하더라도 몸이 들어가지 못하면 아무 소용이 없지. 
아, 내 몸이 망원경 모양으로 줄어들게 할 수는 없을까. 맨 먼저 하는 방법만 알면 반드시 될텐데.'",,,,,
T,"줄곧 신기한 일만 계속되었기 때문에, 앨리스는 이제 무엇이고 안 될 것이 없을 것만 같은 기분이었습니다. 
그러나 아무리 우두커니 서 있어 봤댔자, 아무 소용도 없었습니다. 

'참, 유리 테이블 위에 또 다른 열쇠나, 사람을 망원경 모양으로 줄어들게 할 수 있는 방법을 써 둔 책이 있을지도 몰라.' 
이런 생각을 하면서 테이블이 있는 곳으로 갔습니다. 그러자 테이블 위에는 조그마한 병 한 개가 있었습니다.
'확실히 조금 전엔 없었던 거야.' 병목에 매어 둔 종이 꼬리표에는 <나를 마셔 주셔요.>라는 글귀가 큼직하게 씌어져 있었습니다. 

영리한 앨리스는 성급하게 입을 대지는 않았습니다. '혹시 독이 있다면 적혀 있을지도 모르니, 우선 잘 살펴보아야지……"" ",,,,,
T,"앨리스는 간단한 교훈들을 명심하지 않아서 매우 혼이 난 어린이들의 이야기를 많이 읽어보았기 때문입니다. 
이를테면 빨갛게 단 젓가락을 잡았다가 화상을 입었다던가, 무서운 짐승에 물렸다던가…… 그러나 병에는 그 어디에도 <독>이라고는 씌어져 있지 않았습니다. 

그래서 용기를 내어 한 번 혀끝으로 맛을 보았습니다. 
앵두를 섞은 파이와 커스터드, 태피와 파인애플과 구운 칠면조와 캐러멜과 구운 버터 토스트 등을 섞어 만든 굉장히 맛이 좋은 것이었습니다. 

금새 빈 병이 되고 말았습니다. 
""아이, 기분이 이상해진다."" 맥이 풀린 목소리로 앨리스는 말했습니다. 
""틀림없이 망원경 모양으로 줄어드는가 보다."" 정말 그대로였습니다.",,,,,
T,"이내 약 25센티미터 정도의 키로 줄어들고 말았습니다. 

""야, 신기하다. 이만하면 그 아름다운 뜰에 나가 볼 수 있겠지."" 기뻐서 앨리스의 얼굴은 꽃처럼 활짝 피었습니다. 
그리고 좀더 줄어드나 안 줄어드나 하고, 2, 3분 동안 가만히 있었습니다. 

'초와 같이 완전히 녹아 없어질지도 몰라. 그렇게 되면 나는 어쩌지.' 초가 녹아 없어진 다음을 상상해 보았습니다. 
그러나 한참동안 더 있어도 아무런 변화가 없었습니다. 그래서 앨리스는 곧 뜰로 나가려고 했습니다. 
그런데 그 작은 황금열쇠를 테이블 위에 놓아둔 채 잊어버리고 왔지 뭡니까. 
테이블이 있는 곳으로 되돌아와 보니 이것은 또 웬일입니까. 아무리 해도 손이 닿지를 않았습니다.",,,,,
T,"열쇠는 유리를 통해 아래서 빤히 보였지만, 하는 수 없이 급히 테이블의 다리를 타고 올라갔습니다. 자꾸만 줄줄 미끄러져 올라갈 수가 없었습니다. 몇 번이고 되풀이하고 잇는 동안에 앨리스는 그만 온 몸의 힘이 빠지고 말았습니다. 

가엾게도 너무나 지쳐서 그 자리에 털썩 주저앉아 울음을 터뜨리고 말았습니다. 
""이렇게 울고만 있다고 무슨 수가 날줄 아니!"" 앨리스는 언제나 자기 자신을 타이르는 버릇이 있었습니다. 
""빨리 울음을 그쳐!"" 이윽고 눈물이 마르기 시작했습니다. 그러자 테이블 밑에 조그마한 유리상자가 떨어져 있는 것을 발견했습니다. 열어 보니 조그마한 과자가 한 개 들어있었습니다. 

그 위엔 건포도로 <나를 먹어라>하는, 예쁜 글이 씌어 있었습니다.",,,,,
T,"""좋아, 먹고말고. 키가 커지면 열쇠를 끄집어 낼 수 있을 것이고, 줄어든대도 뜰에 나갈 수 있을 게 아냐. 
이래도 저래도 괜찮지 뭐."" 앨리스는 과자를 조금 씹어 보았습니다. 
두 손을 머리 위에 얹은 채, ""줄어들까? 늘어날까?"" 하고, 근심스럽게 혼잣말을 하고 있었습니다. 

그러나 전혀 아무런 변동도 일어날 것 같지가 않았습니다. 신기한 일만 자꾸 일어나리라고 생각하고 있은 만큼, 아무변화가 없는 것은 따분하기만 했습니다. 그래서 앨리스는 그 과자를 전부 먹고 말았습니다.",,,,,
Q,앨리스가 언니가 읽고 있던 책을 '시시하다'고 생각한 이유는 무엇인가요?,글씨가 너무 작아서,내용이 너무 어려워서,그림도 대화도 없어서,언니가 혼자만 읽어서,3
Q,앨리스가 흰토끼를 보고 '깜짝 놀라' 뒤쫓아가게 된 결정적인 계기는 무엇인가요?,토끼가 분홍색 눈을 가지고 있어서,토끼가 말을 하며 지나가서,토끼가 굴 속으로 뛰어 들어가서,토끼가 조끼 호주머니에서 시계를 꺼내 보아서,4
Q,굴 속으로 떨어지던 중 앨리스가 집어 든 '오렌지 마멀레이드' 병은 어떻게 되었나요?,맛있게 다 먹었다.,떨어뜨려 깨뜨렸다.,빈 병이라 찬장 위에 올려두었다.,무서워서 다시 제자리에 던져 놓았다.,3
Q,앨리스는 떨어지는 동안 지구 반대편 사람들을 무엇이라 부를지 고민하다가 '대조인'이라고 잘못 말했습니다. 원래 생각하려던 단어는 무엇인가요?,대척자,대식가,대리인,대변인,1
Q,떨어지는 와중에 앨리스가 집에 두고 온 것을 걱정하며 우유를 잘 챙겨주길 바랐던 대상은 누구인가요?,언니,고양이 다이나,이웃집 아주머니,아기 박쥐,2
Q,넓은 방에 도착한 앨리스가 '세 발 유리 테이블' 위에서 발견한 것은 무엇인가요?,오렌지 마멀레이드 병,작은 황금열쇠,마른 잎더미,건포도 과자,2
Q,"커튼 뒤에 숨겨진 약 38센티미터 높이의 작은 문을 열었을 때, 앨리스의 눈앞에 펼쳐진 풍경은 어떠했나요?",깜깜한 터널이 계속되었다.,흰토끼의 침실이 보였다.,아름다운 뜰과 분수가 보였다.,또 다른 깊은 우물이 나타났다.,3
Q,<나를 마셔 주셔요>라고 적힌 병의 내용물을 마신 후 앨리스의 키는 약 얼마가 되었나요?,10센티미터,25센티미터,38센티미터,60센티미터,2
Q,몸이 작아진 앨리스가 정원으로 나가지 못하고 울음을 터뜨린 이유는 무엇인가요?,문이 갑자기 잠겨버려서,황금열쇠를 테이블 위에 두고 내려와서,흰토끼가 다시 나타나 방해해서,몸이 계속 줄어들어 없어질까 봐 무서워서,2
Q,마지막에 발견한 유리 상자 속 과자 위에는 무엇으로 <나를 먹어라>라는 글자가 씌어 있었나요?,초콜릿,설탕 가루,건포도,딸기 잼,3
